book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,1,1,Leviticus 1:1,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,2,יקרא,QR>[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,3,אל,>L,prep,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,4,משׁה,MCH=/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,5,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,6,ידבר,DBR[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,7,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,8,אליו,>L,prep,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,9,מ,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,10,אהל,>HL/,subs,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,11,מועד,MW<D/,subs,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,12,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,1,Leviticus 1:1,13,אמר,>MR[,verb.infc,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,1,דבר,DBR[,verb.impv,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,2,אל,>L,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,3,בני,BN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,4,ישׂראל,JFR>L/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,5,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,6,אמרת,>MR[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,7,אליהם,>L,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,8,אדם,>DM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,9,כי,KJ,conj,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,10,יקריב,QRB[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,11,מכם,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,12,קרבן,QRBN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,13,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,14,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,15,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,16,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,17,בהמה,BHMH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,18,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,19,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,20,בקר,BQR/,subs,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,21,או,>W,conj,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,22,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,23,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,24,צאן,Y>N/,subs,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,25,תקריבו,QRB[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,26,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,2,Leviticus 1:2,27,קרבניכם,QRBN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,1,אם,>M,conj,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,2,עלה,<LH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,3,קרבנו,QRBN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,4,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,5,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,6,בקר,BQR/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,7,זכר,ZKR=/,adjv,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,8,תמים,TMJM/,adjv,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,9,יקריבנו,QRB[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,10,אל,>L,prep,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,11,פתח,PTX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,12,אהל,>HL/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,13,מועד,MW<D/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,14,יקריב,QRB[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,15,אתו,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,16,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,17,רצונו,RYWN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,18,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,19,פני,PNH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,3,Leviticus 1:3,20,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,2,סמך,SMK[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,3,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,4,ידו,JD/,subs,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,5,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,6,ראשׁ,R>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,7,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,8,עלה,<LH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,9,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,10,נרצה,RYH[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,11,לו,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,12,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,13,כפר,KPR[,verb.infc,,Chester Beatty 751,SP
3,Leviticus,1,4,Leviticus 1:4,14,עליו,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,2,שׁחט,CXV[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,3,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,4,בן,BN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,5,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,6,בקר,BQR/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,7,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,8,פני,PNH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,9,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,10,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,11,הקריבו,QRB[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,12,בני,BN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,13,אהרן,>HRN/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,14,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,15,כהנים,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,16,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,17,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,18,דם,DM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,19,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,20,זרקו,ZRQ[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,21,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,22,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,23,דם,DM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,24,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,25,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,26,מזבח,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,27,סביב,SBJB/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,28,אשׁר,>CR,conj,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,29,פתח,PTX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,30,אהל,>HL/,subs,,Chester Beatty 751,SP
3,Leviticus,1,5,Leviticus 1:5,31,מועד,MW<D/,subs,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,2,הפשׁיטו,PCV[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,3,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,4,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,5,עלה,<LH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,6,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,7,נתחו,NTX[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,8,אתה,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,9,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,6,Leviticus 1:6,10,נתחיה,NTX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,2,נתנו,NTN[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,3,בני,BN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,4,אהרן,>HRN/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,5,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,6,כהנים,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,7,אשׁ,>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,8,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,9,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,10,מזבח,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,11,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,12,ערכו,<RK[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,13,עצים,<Y/,subs,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,14,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,15,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,7,Leviticus 1:7,16,אשׁ,>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,2,ערכו,<RK[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,3,בני,BN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,4,אהרן,>HRN/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,5,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,6,כהנים,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,7,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,8,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,9,נתחים,NTX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,10,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,11,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,12,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,13,ראשׁ,R>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,14,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,15,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,16,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,17,פדר,PDR/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,18,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,19,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,20,עצים,<Y/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,21,אשׁר,>CR,conj,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,22,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,23,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,24,אשׁ,>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,25,אשׁר,>CR,conj,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,26,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,27,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,8,Leviticus 1:8,28,מזבח,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,2,קרבו,QRB/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,3,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,4,כרעיו,KR<JM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,5,ירחצו,RXY[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,6,ב,B,prep,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,7,מים,MJM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,8,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,9,הקטיר,QVR[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,10,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,11,כהן,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,12,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,13,כל,KL/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,14,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,15,מזבחה,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,16,עלה,<LH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,17,הוא,HW>,prps,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,18,אשׁה,>CH=/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,19,ריח,RJX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,20,ניחח,NJXX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,21,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,9,Leviticus 1:9,22,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,2,אם,>M,conj,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,3,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,4,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,5,צאן,Y>N/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,6,עלה,<LH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,7,קרבנו,QRBN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,8,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,9,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,10,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,11,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,12,כשׂבים,KFB/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,13,או,>W,conj,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,14,מן,MN,prep,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,15,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,16,עזים,<Z==/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,17,זכר,ZKR=/,adjv,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,18,תמים,TMJM/,adjv,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,19,יקריבנו,QRB[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,20,אל,>L,prep,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,21,פתח,PTX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,22,אהל,>HL/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,23,מועד,MW<D/,subs,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,24,יקריב,QRB[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,10,Leviticus 1:10,25,אתו,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,2,שׁחט,CXV[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,3,אתו,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,4,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,5,ירך,JRK/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,6,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,7,מזבח,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,8,צפונה,YPWN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,9,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,10,פני,PNH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,11,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,12,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,13,זרקו,ZRQ[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,14,בני,BN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,15,אהרן,>HRN/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,16,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,17,כהנים,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,18,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,19,דמו,DM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,20,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,21,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,22,מזבח,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,11,Leviticus 1:11,23,סביב,SBJB/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,2,נתחו,NTX[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,3,אתו,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,4,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,5,נתחיו,NTX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,6,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,7,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,8,ראשׁו,R>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,9,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,10,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,11,פדרו,PDR/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,12,יעריך,<RK[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,13,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,14,כהן,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,15,אתם,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,16,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,17,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,18,עצים,<Y/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,19,אשׁר,>CR,conj,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,20,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,21,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,22,אשׁ,>C/,subs,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,23,אשׁר,>CR,conj,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,24,על,<L,prep,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,25,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,12,Leviticus 1:12,26,מזבח,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,2,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,3,קרב,QRB/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,4,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,5,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,6,כרעים,KR<JM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,7,ירחץ,RXY[,verb.impf,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,8,ב,B,prep,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,9,מים,MJM/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,10,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,11,הקריב,QRB[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,12,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,13,כהן,KHN/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,14,את,>T,prep,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,15,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,16,כל,KL/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,17,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,18,הקטיר,QVR[,verb.perf,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,19,ה,H,art,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,20,מזבחה,MZBX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,21,עלה,<LH/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,22,הוא,HW>,prps,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,23,אשׁה,>CH=/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,24,ריח,RJX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,25,ניחח,NJXX/,subs,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,26,ל,L,prep,,Chester Beatty 751,SP
3,Leviticus,1,13,Leviticus 1:13,27,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
3,Leviticus,1,14,Leviticus 1:14,1,ו,W,conj,,Chester Beatty 751,SP
3,Leviticus,1,14,Leviticus 1:14,2,אם,>M,conj,,Chester Beatty 751,SP
