book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
26,Ezekiel,1,1,Ezekiel 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,2,יְהִ֣י׀,HJH[,verb.qal.wayq,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,3,בִּ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,4,שְׁלֹשִׁ֣ים,CLC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,5,שָׁנָ֗ה,CNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,6,בָּֽ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,7,,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,8,רְבִיעִי֙,RBJ<J/,adjv.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,9,בַּ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,10,חֲמִשָּׁ֣ה,XMC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,11,לַ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,12,,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,13,חֹ֔דֶשׁ,XDC=/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,14,וַ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,15,אֲנִ֥י,>NJ,prps.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,16,בְ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,17,תֹֽוךְ־,TWK/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,18,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,19,גֹּולָ֖ה,GWLH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,20,עַל־,<L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,21,נְהַר־,NHR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,22,כְּבָ֑ר,KBR=/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,23,נִפְתְּחוּ֙,PTX[,verb.nif.perf,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,24,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,25,שָּׁמַ֔יִם,CMJM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,26,וָ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,27,אֶרְאֶ֖ה,R>H[,verb.qal.wayq,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,28,מַרְאֹ֥ות,MR>H=/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,1,Ezekiel 1:1,29,אֱלֹהִֽים׃,>LHJM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,1,בַּ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,2,חֲמִשָּׁ֖ה,XMC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,3,לַ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,4,,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,5,חֹ֑דֶשׁ,XDC=/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,6,הִ֚יא,HJ>,prps.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,7,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,8,שָּׁנָ֣ה,CNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,9,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,10,חֲמִישִׁ֔ית,XMJCJ/,adjv.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,11,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,12,גָל֖וּת,GLWT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,13,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,14,מֶּ֥לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,2,Ezekiel 1:2,15,יֹויָכִֽין׃,JWJKJN/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,1,הָיֹ֣ה,HJH[,verb.qal.infa,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,2,הָיָ֣ה,HJH[,verb.qal.perf,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,3,דְבַר־,DBR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,4,יְ֠הוָה,JHWH/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,5,אֶל־,>L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,6,יְחֶזְקֵ֨אל,JXZQ>L/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,7,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,8,בּוּזִ֧י,BWZJ=/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,9,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,10,כֹּהֵ֛ן,KHN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,11,בְּ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,12,אֶ֥רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,13,כַּשְׂדִּ֖ים,KFDJ/,adjv.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,14,עַל־,<L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,15,נְהַר־,NHR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,16,כְּבָ֑ר,KBR=/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,17,וַ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,18,תְּהִ֥י,HJH[,verb.qal.wayq,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,19,עָלָ֛יו,<L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,20,שָׁ֖ם,CM,advb.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,21,יַד־,JD/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,3,Ezekiel 1:3,22,יְהוָֽה׃,JHWH/,nmpr.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,1,וָ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,2,אֵ֡רֶא,R>H[,verb.qal.wayq,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,3,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,4,הִנֵּה֩,HNH,intj.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,5,ר֨וּחַ,RWX/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,6,סְעָרָ֜ה,S<RH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,7,בָּאָ֣ה,BW>[,verb.qal.ptca,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,8,מִן־,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,9,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,10,צָּפֹ֗ון,YPWN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,11,עָנָ֤ן,<NN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,12,גָּדֹול֙,GDWL/,adjv.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,13,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,14,אֵ֣שׁ,>C/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,15,מִתְלַקַּ֔חַת,LQX[,verb.hit.ptca,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,16,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,17,נֹ֥גַֽהּ,NGH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,18,לֹ֖ו,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,19,סָבִ֑יב,SBJB/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,20,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,21,מִ֨,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,22,תֹּוכָ֔הּ,TWK/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,23,כְּ,K,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,24,עֵ֥ין,<JN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,25,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,26,חַשְׁמַ֖ל,XCML/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,27,מִ,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,28,תֹּ֥וךְ,TWK/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,29,הָ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,4,Ezekiel 1:4,30,אֵֽשׁ׃,>C/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,1,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,2,מִ֨,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,3,תֹּוכָ֔הּ,TWK/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,4,דְּמ֖וּת,DMWT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,5,אַרְבַּ֣ע,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,6,חַיֹּ֑ות,XJH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,7,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,8,זֶה֙,ZH,prde.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,9,מַרְאֵֽיהֶ֔ן,MR>H/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,10,דְּמ֥וּת,DMWT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,11,אָדָ֖ם,>DM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,12,לָ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,5,Ezekiel 1:5,13,הֵֽנָּה׃,HNH=,prps.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,1,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,2,אַרְבָּעָ֥ה,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,3,פָנִ֖ים,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,4,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,5,אֶחָ֑ת,>XD/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,6,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,7,אַרְבַּ֥ע,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,8,כְּנָפַ֖יִם,KNP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,9,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,10,אַחַ֥ת,>XD/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,6,Ezekiel 1:6,11,לָהֶֽם׃,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,1,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,2,רַגְלֵיהֶ֖ם,RGL/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,3,רֶ֣גֶל,RGL/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,4,יְשָׁרָ֑ה,JCR/,adjv.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,5,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,6,כַ֣ף,KP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,7,רַגְלֵיהֶ֗ם,RGL/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,8,כְּ,K,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,9,כַף֙,KP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,10,רֶ֣גֶל,RGL/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,11,עֵ֔גֶל,<GL/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,12,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,13,נֹ֣צְצִ֔ים,NYY[,verb.qal.ptca,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,14,כְּ,K,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,15,עֵ֖ין,<JN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,16,נְחֹ֥שֶׁת,NXCT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,7,Ezekiel 1:7,17,קָלָֽל׃,QLL/,adjv.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,1,וִ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,2,ידֵ֣י,JD/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,3,אָדָ֗ם,>DM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,4,מִ,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,5,תַּ֨חַת֙,TXT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,6,כַּנְפֵיהֶ֔ם,KNP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,7,עַ֖ל,<L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,8,אַרְבַּ֣עַת,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,9,רִבְעֵיהֶ֑ם,RB<=/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,10,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,11,פְנֵיהֶ֥ם,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,12,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,13,כַנְפֵיהֶ֖ם,KNP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,14,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,8,Ezekiel 1:8,15,אַרְבַּעְתָּֽם׃,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,1,חֹֽבְרֹ֛ת,XBR[,verb.qal.ptca,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,2,אִשָּׁ֥ה,>CH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,3,אֶל־,>L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,4,אֲחֹותָ֖הּ,>XWT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,5,כַּנְפֵיהֶ֑ם,KNP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,6,לֹא־,L>,nega.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,7,יִסַּ֣בּוּ,SBB[,verb.nif.impf,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,8,בְ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,9,לֶכְתָּ֔ן,HLK[,verb.qal.infc,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,10,אִ֛ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,11,אֶל־,>L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,12,עֵ֥בֶר,<BR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,13,פָּנָ֖יו,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,9,Ezekiel 1:9,14,יֵלֵֽכוּ׃,HLK[,verb.qal.impf,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,1,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,2,דְמ֣וּת,DMWT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,3,פְּנֵיהֶם֮,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,4,פְּנֵ֣י,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,5,אָדָם֒,>DM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,6,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,7,פְנֵ֨י,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,8,אַרְיֵ֤ה,>RJH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,9,אֶל־,>L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,10,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,11,יָּמִין֙,JMJN/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,12,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,13,אַרְבַּעְתָּ֔ם,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,14,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,15,פְנֵי־,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,16,שֹׁ֥ור,CWR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,17,מֵֽ,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,18,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,19,שְּׂמֹ֖אול,FM>L/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,20,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,21,אַרְבַּעְתָּ֑ן,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,22,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,23,פְנֵי־,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,24,נֶ֖שֶׁר,NCR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,25,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,10,Ezekiel 1:10,26,אַרְבַּעְתָּֽן׃,>RB</,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,1,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,2,פְנֵיהֶ֕ם,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,3,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,4,כַנְפֵיהֶ֥ם,KNP/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,5,פְּרֻדֹ֖ות,PRD[,verb.qal.ptcp,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,6,מִ,MN,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,7,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,8,מָ֑עְלָה,M<L/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,9,לְ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,10,אִ֗ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,11,שְׁ֚תַּיִם,CNJM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,12,חֹבְרֹ֣ות,XBR[,verb.qal.ptca,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,13,אִ֔ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,14,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,15,שְׁתַּ֣יִם,CNJM/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,16,מְכַסֹּ֔ות,KSH[,verb.piel.ptca,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,17,אֵ֖ת,>T,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,11,Ezekiel 1:11,18,גְּוִיֹתֵיהֶֽנָה׃,GWJH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,1,וְ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,2,אִ֛ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,3,אֶל־,>L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,4,עֵ֥בֶר,<BR/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,5,פָּנָ֖יו,PNH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,6,יֵלֵ֑כוּ,HLK[,verb.qal.impf,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,7,אֶ֣ל,>L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,8,אֲשֶׁר֩,>CR,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,9,יִֽהְיֶה־,HJH[,verb.qal.impf,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,10,שָׁ֨מָּה,CM,advb.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,11,הָ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,12,ר֤וּחַ,RWX/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,13,לָ,L,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,14,לֶ֨כֶת֙,HLK[,verb.qal.infc,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,15,יֵלֵ֔כוּ,HLK[,verb.qal.impf,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,16,לֹ֥א,L>,nega.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,17,יִסַּ֖בּוּ,SBB[,verb.nif.impf,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,18,בְּ,B,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,12,Ezekiel 1:12,19,לֶכְתָּֽן׃,HLK[,verb.qal.infc,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,1,וּ,W,conj.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,2,דְמ֨וּת,DMWT/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,3,הַ,H,art.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,4,חַיֹּ֜ות,XJH/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,5,מַרְאֵיהֶ֣ם,MR>H/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,6,כְּ,K,prep.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,7,גַחֲלֵי־,GXL=/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,8,אֵ֗שׁ,>C/,subs.NA.NA,,Leningrad,MT
26,Ezekiel,1,13,Ezekiel 1:13,9,בֹּֽעֲרֹות֙,B<R[,verb.qal.ptca,,Leningrad,MT
