book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
8,Ruth,1,1,Ruth 1:1,1,ܘܗ̣ܘܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,2,ܒܝܘ̈ܡܝ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,3,ܕܝ̇ܢ̈ܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,4,ܗ̣ܘܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,5,ܟܦܢܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,6,ܒܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,7,ܘܐܙܠ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,8,ܓܒܪܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,9,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,10,ܒܝܬ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,11,ܠܚܡ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,12,ܕܝܗܘܕܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,13,ܠܡܥܡܪ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,14,ܒܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,15,ܕܡܘܐܒ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,16,ܗ̣ܘ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,17,ܘܐܢܬܬܗ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,18,ܘܒ̈ܢܘܗܝ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,19,ܡܛܠ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,20,ܕܥ̣ܫܢ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,21,ܟܦܢܐ,,,,Peshitta,PESH
8,Ruth,1,1,Ruth 1:1,22,ܒܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,1,ܘܫܡܗ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,2,ܠܓܒܪܐ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,3,ܐܠܝܡܠܟ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,4,ܘܫܡܗ̇,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,5,ܕܐܢܬܬܗ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,6,ܢܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,7,ܘܫܡܗ̈ܐ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,8,ܕܒܢ̈ܘܗܝ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,9,ܡܠܝܘܢ̣,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,10,ܘܟܠܝܘܢ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,11,ܐܦܪ̈ܬ̇ܝܐ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,12,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,13,ܒܝܬ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,14,ܠܚܡ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,15,ܕܝܗܘܕܐ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,16,ܘܐܬܘ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,17,ܠܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,18,ܕܡܘܐܒ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,19,ܠܡܥܡܪ,,,,Peshitta,PESH
8,Ruth,1,2,Ruth 1:2,20,ܬܡܢ,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,1,ܘܡ̣ܝܬ,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,2,ܐܠܝܡܠܟ̇,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,3,ܒܥܠܗ̇,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,4,ܕܢܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,5,ܘܐܫܬ̣ܚܪܬ,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,6,ܗܝ̣,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,7,ܘܬܪܝܢ,,,,Peshitta,PESH
8,Ruth,1,3,Ruth 1:3,8,ܒܢ̈ܝܗ̇,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,1,ܘܢܣ̣ܒܘ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,2,ܠܗ̇ܘܢ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,3,ܢܫ̈ܐ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,4,ܡܘܐܒܝܬܐ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,5,ܫܡܗ̇,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,6,ܕܚܕܐ̣,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,7,ܥܪܦܐ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,8,ܘܫܡܗ̇,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,9,ܕܐܚܪܬܐ̣,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,10,ܪܥܘܬ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,11,ܘܥ̇ܡ̣ܪܘ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,12,ܬܡܢ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,13,ܐܝܟ,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,14,ܫܢ̈ܝܐ̣,,,,Peshitta,PESH
8,Ruth,1,4,Ruth 1:4,15,ܥܣܪ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,1,ܘܡܝܬܘ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,2,ܬܪ̈ܝܗܘܢ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,3,ܒܢ̈ܝܗ̇,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,4,ܡܠܝܘܢ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,5,ܘܟܠܝܘܢ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,6,ܘܐܬ̣ܓܙܝܬ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,7,ܐܢܬ̇ܬܐ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,8,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,9,ܒܥܠܗ̣̇,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,10,ܘܡܢ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,11,ܬܪ̈ܝܗܘܢ,,,,Peshitta,PESH
8,Ruth,1,5,Ruth 1:5,12,ܒܢ̈ܝܗ̇,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,1,ܘܗܦ̣ܟܬ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,2,ܗܝ̣,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,3,ܘܬܪ̈ܬܝܢ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,4,ܡ̣ܢ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,5,ܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,6,ܕܡܘܐܒ̣,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,7,ܡܛܠ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,8,ܕܫܡ̣ܥܘ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,9,ܒܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,10,ܕܡܘܐܒ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,11,ܕܣ̣ܥܪ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,12,ܡܪܝܐ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,13,ܠܥܡܗ̇,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,14,ܠܡܬܠ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,15,ܠܗܘܢ,,,,Peshitta,PESH
8,Ruth,1,6,Ruth 1:6,16,ܡܙܘܢܐ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,1,ܘܢܦ̣ܩ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,2,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,3,ܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,4,ܕܡܥܡܪܗܝ̣ܢ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,5,ܗ̣ܝ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,6,ܘܬܪ̈ܬܝܢ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,7,ܟ̈ܠܬܗ̇,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,8,ܥܡܗ̇,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,9,ܠܡܗܦܟ̣,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,10,ܘܠܡܐܙܠ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,11,ܠܐܪܥܐ,,,,Peshitta,PESH
8,Ruth,1,7,Ruth 1:7,12,ܕܝܗܘܕܐ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,1,ܘܐܡ̣ܪܬ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,2,ܢܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,3,ܠܟ̈ܠܬܗ̇,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,4,ܗܦܘܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,5,ܙ̈ܠܝܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,6,ܠܐܬܪܟܝ̣ܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,7,ܘܠܒܝܬ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,8,ܐܢܫ̈ܝܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,9,ܘܡܪܝܐ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,10,ܢܥܒܕ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,11,ܥܡܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,12,ܪ̈ܚܡ̣ܐ̣,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,13,ܐܝܟ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,14,ܕܥܒܕܬܝܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,15,ܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,16,ܘܥܡ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,17,ܬܪ̈ܝܗܘܢ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,18,ܒܢ̈ܝ,,,,Peshitta,PESH
8,Ruth,1,8,Ruth 1:8,19,ܕܡܝܬܘ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,1,ܘܢܬܠܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,2,ܡܪܝܐ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,3,ܠܪ̈ܚ̣ܡܐ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,4,ܘܬܫܟܚܝܢ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,5,ܢܝܚܐ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,6,ܒܝܬ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,7,ܐܒܗ̈ܝܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,8,ܘܢܫ̣ܩܬ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,9,ܐ̈ܢܝܢ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,10,ܘܐܪܝܡ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,11,ܩܠܗܝ̣ܢ,,,,Peshitta,PESH
8,Ruth,1,9,Ruth 1:9,12,ܘܒܟ̈ܝ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,1,ܘܐܡܪ̈ܢ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,2,ܠܗ̇,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,3,ܠܐ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,4,ܐܠܐ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,5,ܥܡܟܝ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,6,ܢܐܙܠ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,7,ܠܐܪܥܟܝ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,8,ܘܠܥܡܟܝ,,,,Peshitta,PESH
8,Ruth,1,10,Ruth 1:10,9,ܰ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,1,ܘܐܡ̣ܪܬ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,2,ܠܗܝ̇ܢ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,3,ܢܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,4,ܗܦܘܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,5,ܒܢ̈ܬܝ̣,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,6,ܡܢܐ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,7,ܐ̈ܙܠܢ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,8,ܐܢܬܝܢ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,9,ܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,10,ܕܕܠܡܐ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,11,ܬܘܒ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,12,ܢܗܘܘܢ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,13,ܠܝ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,14,ܒܢ̈ܝܐ݃,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,15,ܘܐܬܠܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,11,Ruth 1:11,16,ܠܗܘܢ̣,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,1,ܗܦܘ̈ܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,2,ܒܢ̈ܬܝ̣,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,3,ܡܛܠ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,4,ܕܐܢܐ̣,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,5,ܣܐܒܬ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,6,ܠܝ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,7,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,8,ܕܠܡܗܘܐ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,9,ܠܓܒܪܐ̇,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,10,ܕܐܡܪ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,11,ܕܬܘܒ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,12,ܢܗܘܐ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,13,ܠܝ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,14,ܣܒ̇ܪܐ̇,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,15,ܘܐܗ̇ܘܐ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,16,ܠܓܒܪܐ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,17,ܘܐܘܠܕ,,,,Peshitta,PESH
8,Ruth,1,12,Ruth 1:12,18,ܒܢ̈ܝܐ̇,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,1,ܘܐܢܬܝܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,2,ܬܣ̈ܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,3,ܠܗܘܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,4,ܥܕܡܐ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,5,ܕܢܐܪܒܘܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,6,ܘܬܬܥܟܪ̈ܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,7,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,8,ܕܠܡܗܘܐ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,9,ܠܓܒܪ̈ܐ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,10,ܠܐ̇,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,11,ܒܢ̈ܬܝ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,12,ܡܛܠ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,13,ܕܡ̇ܪܬ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,14,ܠܝ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,15,ܛܒ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,16,ܥܠܝܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,17,ܘܠܝ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,18,ܡܪܝܪܐ̣,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,19,ܝܬܝܪ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,20,ܡܢܟܝܢ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,21,ܡܛܠ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,22,ܕܐܝ̣ܕܗ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,23,ܕܡܪܝܐ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,24,ܢܦ̣ܩܬ,,,,Peshitta,PESH
8,Ruth,1,13,Ruth 1:13,25,ܒܬܪܝ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,1,ܘܐܪܝܡ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,2,ܬܘܒ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,3,ܩܠܗܝ̣ܢ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,4,ܘܒ̈ܟܝ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,5,ܘܢܫ̣ܩܬ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,6,ܥܪܦܐ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,7,ܠܚܡܬܗ̣̇,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,8,ܘܗܦ̣ܟܬ̣,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,9,ܘܐ̣ܙܠܬ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,10,ܪܥܘܬ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,11,ܕܝܢ,,,,Peshitta,PESH
8,Ruth,1,14,Ruth 1:14,12,ܢܩܦܬܗ̇,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,1,ܘܐܡ̣ܪܬ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,2,ܠܗ̇,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,3,ܚܡܬܗ̇,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,4,ܗܐ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,5,ܝܒܡܬܟܝ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,6,ܗܦ̣ܟܬ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,7,ܠܥܡܗ̣̇,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,8,ܘܠܒܝܬ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,9,ܐܢܫ̈ܝܗ̇,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,10,ܗܦܘܟܝ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,11,ܐܦ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,12,ܐܢܬ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,13,ܒܬܪ,,,,Peshitta,PESH
8,Ruth,1,15,Ruth 1:15,14,ܝܒܡܬܟܝ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,1,ܘܐܡܪܬ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,2,ܠܗ̇,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,3,ܪܥܘܬ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,4,ܚܣ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,5,ܠܝ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,6,ܕܐܗܦܘܟ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,7,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,8,ܠܘܬܟܝ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,9,ܘܐܫܒܩܟܝ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,10,ܡܛܠ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,11,ܕܠܐܬܪ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,12,ܕܬܐܙܠܝ̣ܢ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,13,ܐ̇ܙܠ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,14,ܘܐܝܟܐ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,15,ܕܬܥܡܪܝܢ̣,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,16,ܐ̇ܥܡܪ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,17,ܥܡܟܝ̣,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,18,ܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,19,ܘܐܠܗܟܝ̣,,,,Peshitta,PESH
8,Ruth,1,16,Ruth 1:16,20,ܐܠܗܝ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,1,ܘܐܬܪ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,2,ܕܬܡܘܬܝܢ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,3,ܐܡ̇ܘܬ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,4,ܐܦ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,5,ܐܢܐ̣,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,6,ܘܐܬܩܒܪ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,7,ܗܟܢܐ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,8,ܢܥܒܕ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,9,ܠܝ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,10,ܐܠܗܐ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,11,ܘܗܟܢܐ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,12,ܢܘܣܦ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,13,ܠܝ̣,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,14,ܐܠܐ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,15,ܐܢ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,16,ܡܘܬܐ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,17,ܒܠܚܘܕ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,18,ܕܢܦܪܘܫ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,19,ܒܝܢܝ,,,,Peshitta,PESH
8,Ruth,1,17,Ruth 1:17,20,ܘܠܟܝ܀,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,1,ܟܕ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,2,ܚܙܬ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,3,ܕܝܢ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,4,ܢܥܡܝ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,5,ܕܫܪܝܪܐܝܬ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,6,ܐܨܛܒ̣ܝܬ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,7,ܠܡܐܙܠ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,8,ܥܡܗ̣̇,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,9,ܫܠ̣ܝܬ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,10,ܡܢ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,11,ܕܠܡܐܡܪ,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,12,ܠܗ̇,,,,Peshitta,PESH
8,Ruth,1,18,Ruth 1:18,13,ܠܡܐܙܠ,,,,Peshitta,PESH
8,Ruth,1,19,Ruth 1:19,1,ܘܐܬܝ,,,,Peshitta,PESH
8,Ruth,1,19,Ruth 1:19,2,ܐܟܚܕܐ,,,,Peshitta,PESH
8,Ruth,1,19,Ruth 1:19,3,ܥܕܡܐ,,,,Peshitta,PESH
8,Ruth,1,19,Ruth 1:19,4,ܠܒܝܬ,,,,Peshitta,PESH
8,Ruth,1,19,Ruth 1:19,5,ܠܚܡ,,,,Peshitta,PESH
8,Ruth,1,19,Ruth 1:19,6,ܕܝܗܘܕܐ,,,,Peshitta,PESH
