book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
9,1 Samuel,1,1,1 Samuel 1:1,1,ܘܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,2,ܓܒܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,3,ܚܕ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,4,ܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,5,ܪܡܬܐ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,6,ܕܕܘܩ̈ܐ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,7,ܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,8,ܛܘܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,9,ܕܐܦܪܝܡ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,10,ܘܫܡܗ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,11,ܗܠܩܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,12,ܒܪ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,13,ܝܪܚܘܡ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,14,ܒܪ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,15,ܐܠܝܗܘ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,16,ܒܪ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,17,ܬܚܘ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,18,ܒܪ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,19,ܨܘܦ,,,,Peshitta,PESH
9,1 Samuel,1,1,1 Samuel 1:1,20,ܐܦܪܬܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,1,ܘܐܝܬ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,2,ܗ̈ܘܝ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,3,ܠܗ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,4,ܬܪ̈ܬܝܢ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,5,ܢܫ̈ܝܢ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,6,ܫܡܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,7,ܕܚܕܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,8,ܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,9,ܘܫܡܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,10,ܕܐܚܪܬܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,11,ܦܢܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,12,ܘܗܘܘ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,13,ܠܦܢܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,14,ܒ̈ܢܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,15,ܘܠܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,16,ܠܝܬ,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,17,ܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,2,1 Samuel 1:2,18,ܒ̈ܢܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,1,ܘܣ̇ܠܩ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,2,ܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,3,ܓܒܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,4,ܗܘ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,5,ܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,6,ܩܪܝܬܗ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,7,ܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,8,ܥܕܢ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,9,ܠܥܕܢ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,10,ܠܡܣܓܕ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,11,ܘܠܡܕܒܚܘ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,12,ܠܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,13,ܨܒܐܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,14,ܒܫܝܠܘ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,15,ܘܬܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,16,ܐܝܬ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,17,ܗܘܘ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,18,ܬܪ̈ܝܢ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,19,ܒܢ̈ܘܗܝ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,20,ܕܥܠܝ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,21,ܚܦܢܝ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,22,ܘܦܝܢܚܝܣ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,23,ܟܗ̈ܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,3,1 Samuel 1:3,24,ܠܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,1,ܘܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,2,ܝܘܡܐ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,3,ܘܕܒܚ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,4,ܗܠܩܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,5,ܘܝܗܒ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,6,ܠܦܢܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,7,ܐܢܬܬܗ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,8,ܘܠܟܘܠܗܘܢ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,9,ܒ̈ܢܝܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,10,ܘܒ̈ܢܬܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,11,ܝܗܒ,,,,Peshitta,PESH
9,1 Samuel,1,4,1 Samuel 1:4,12,ܡ̈ܢܘܬܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,1,ܘܠܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,2,ܝܗܒ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,3,ܡܢܬܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,4,ܚܕܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,5,ܐܥܦܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,6,ܡܛܠ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,7,ܕܠܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,8,ܪܚ̇ܡ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,9,ܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,10,ܘܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,11,ܐܚܕ,,,,Peshitta,PESH
9,1 Samuel,1,5,1 Samuel 1:5,12,ܪܚܡܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,1,ܘܡܪܓܙܐ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,2,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,3,ܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,4,ܥܪܬܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,5,ܐܦ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,6,ܡܪܓܙܘ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,7,ܡܛܠ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,8,ܕܬܟܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,9,ܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,10,ܡܛܠ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,11,ܕܐܚܕ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,12,ܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,13,ܒܐ̈ܦܝ,,,,Peshitta,PESH
9,1 Samuel,1,6,1 Samuel 1:6,14,ܡܪܒܥܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,1,ܘܗܟܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,2,ܥܒܕܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,3,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,4,ܦܢܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,5,ܟܠ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,6,ܫܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,7,ܒܫܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,8,ܒܙܒܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,9,ܕܣܠܩܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,10,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,11,ܠܒܝܬܗ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,12,ܕܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,13,ܗܟܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,14,ܡܪܓܙܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,15,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,16,ܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,17,ܘܒܟܬ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,18,ܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,19,ܘܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,7,1 Samuel 1:7,20,ܠܥܣܬ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,1,ܘܐܡܪ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,2,ܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,3,ܗܠܩܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,4,ܒܥܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,5,ܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,6,ܠܡܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,7,ܒܟܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,8,ܐܢܬܝ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,9,ܘܐܝܟܘ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,10,ܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,11,ܠܥܣܬܝ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,12,ܘܠܡܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,13,ܒܝܫ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,14,ܠܒܟܝ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,15,ܗܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,16,ܐܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,17,ܛܒ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,18,ܐܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,19,ܠܟܝ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,20,ܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,21,ܥܣܪ̈ܐ,,,,Peshitta,PESH
9,1 Samuel,1,8,1 Samuel 1:8,22,ܒܢܝ̈ܢ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,1,ܘܩܡܬ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,2,ܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,3,ܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,4,ܒܬܪ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,5,ܕܠܥܣܬ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,6,ܒܫܝܠܘ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,7,ܘܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,8,ܒܬܪ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,9,ܕܐܫܬܝܬ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,10,ܘܣܠܩܬ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,11,ܠܒܝܬܗ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,12,ܕܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,13,ܘܥܠܝ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,14,ܟܗܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,15,ܝܬ̇ܒ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,16,ܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,17,ܥܠ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,18,ܟܘܪܣܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,19,ܥܠ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,20,ܐܣܟܘܦܬܐ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,21,ܕܗܝܟܠܗ,,,,Peshitta,PESH
9,1 Samuel,1,9,1 Samuel 1:9,22,ܕܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,1,ܘܕܝܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,2,ܡܪܝܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,3,ܢܦܫܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,4,ܘܡܨܠܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,5,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,6,ܩܕܡ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,7,ܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,8,ܘܡܒܟܐ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,9,ܒܟܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,10,1 Samuel 1:10,10,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,1,ܘܢܕܪܬ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,2,ܢܕܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,3,ܘܐܡܪܬ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,4,ܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,5,ܨܒܐܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,6,ܐܢ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,7,ܡܚܙܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,8,ܬܚܙܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,9,ܒܫܘܥܒܕܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,10,ܕܐܡܬܟ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,11,ܘܬܬܕܟܪܝܢܝ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,12,ܘܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,13,ܬܛܥܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,14,ܠܐܡܬܟ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,15,ܘܬܬܠ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,16,ܠܐܡܬܟ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,17,ܙܪܥܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,18,ܕܐܢܫܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,19,ܐܬܠܝܘܗܝ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,20,ܠܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,21,ܟܠ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,22,ܝܘܡ̈ܝ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,23,ܚܝ̈ܘܗܝ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,24,ܘܡܕܟܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,25,ܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,26,ܢܣܩ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,27,ܥܠ,,,,Peshitta,PESH
9,1 Samuel,1,11,1 Samuel 1:11,28,ܪܝܫܗ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,1,ܘܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,2,ܕܟܕ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,3,ܐܣܓܝܬ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,4,ܠܡܨܠܝܘ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,5,ܩܕܡ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,6,ܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,7,ܘܥܠܝ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,8,ܢ̇ܛܪ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,9,ܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,12,1 Samuel 1:12,10,ܠܦܘܡܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,1,ܘܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,2,ܒܠܒܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,3,ܗܘ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,4,ܡܡܠܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,5,ܗܘܬ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,6,ܒܠܚܘܕ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,7,ܘܣ̈ܦܘܬܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,8,ܗܘ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,9,ܙܝ̈ܥܢ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,10,ܗ̈ܘܝ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,11,ܘܩܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,12,ܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,13,ܡܫܬܡܥ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,14,ܗܘܐ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,15,ܘܚܫܒܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,16,ܥܠܝ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,17,ܐܝܟ,,,,Peshitta,PESH
9,1 Samuel,1,13,1 Samuel 1:13,18,ܪܘܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,1,ܘܐܡܪ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,2,ܠܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,3,ܥܠܝ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,4,ܥܕܡܐ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,5,ܠܐܡܬܝ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,6,ܡܬܪܘܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,7,ܐܢܬܝ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,8,ܐܦܝܓܝ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,9,ܚܡܪܟܝ,,,,Peshitta,PESH
9,1 Samuel,1,14,1 Samuel 1:14,10,ܡܢܟܝ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,1,ܥܢܬ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,2,ܚܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,3,ܘܐܡܪܬ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,4,ܠܗ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,5,ܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,6,ܡܪܝ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,7,ܐܢܬܬܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,8,ܐܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,9,ܥܝܝܩܬ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,10,ܪܘܚܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,11,ܘܚܡܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,12,ܘܫܟܪܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,13,ܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,14,ܐܫܬܝܬ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,15,ܘܐܫܕܬ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,16,ܢܦܫܝ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,17,ܩܕܡ,,,,Peshitta,PESH
9,1 Samuel,1,15,1 Samuel 1:15,18,ܡܪܝܐ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,1,ܠܐ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,2,ܬܚܫܒܝܗ̇,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,3,ܠܐܡܬܟ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,4,ܩܕܡܝܟ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,5,ܒܪܬ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,6,ܚܛܗܐ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,7,ܡܛܘܠ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,8,ܕܡܢ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,9,ܣܘܓܐܐ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,10,ܗܘ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,11,ܕܥܩܬܝ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,12,ܘܕܪܘܓܙܝ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,13,ܡܠܠܬ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,14,ܥܕܡܐ,,,,Peshitta,PESH
9,1 Samuel,1,16,1 Samuel 1:16,15,ܠܗܫܐ,,,,Peshitta,PESH
9,1 Samuel,1,17,1 Samuel 1:17,1,ܘܥܢܐ,,,,Peshitta,PESH
9,1 Samuel,1,17,1 Samuel 1:17,2,ܥܠܝ,,,,Peshitta,PESH
9,1 Samuel,1,17,1 Samuel 1:17,3,ܘܐܡܪ,,,,Peshitta,PESH
