book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
60,James,1,1,James 1:1,1,"Jacobus,",,,,Clementine,VUL
60,James,1,1,James 1:1,2,Dei,,,,Clementine,VUL
60,James,1,1,James 1:1,3,et,,,,Clementine,VUL
60,James,1,1,James 1:1,4,Domini,,,,Clementine,VUL
60,James,1,1,James 1:1,5,nostri,,,,Clementine,VUL
60,James,1,1,James 1:1,6,Jesu,,,,Clementine,VUL
60,James,1,1,James 1:1,7,Christi,,,,Clementine,VUL
60,James,1,1,James 1:1,8,"servus,",,,,Clementine,VUL
60,James,1,1,James 1:1,9,duodecim,,,,Clementine,VUL
60,James,1,1,James 1:1,10,"tribubus,",,,,Clementine,VUL
60,James,1,1,James 1:1,11,quæ,,,,Clementine,VUL
60,James,1,1,James 1:1,12,sunt,,,,Clementine,VUL
60,James,1,1,James 1:1,13,in,,,,Clementine,VUL
60,James,1,1,James 1:1,14,"dispersione,",,,,Clementine,VUL
60,James,1,1,James 1:1,15,salutem.,,,,Clementine,VUL
60,James,1,2,James 1:2,1,Omne,,,,Clementine,VUL
60,James,1,2,James 1:2,2,gaudium,,,,Clementine,VUL
60,James,1,2,James 1:2,3,existimate,,,,Clementine,VUL
60,James,1,2,James 1:2,4,fratres,,,,Clementine,VUL
60,James,1,2,James 1:2,5,"mei,",,,,Clementine,VUL
60,James,1,2,James 1:2,6,cum,,,,Clementine,VUL
60,James,1,2,James 1:2,7,in,,,,Clementine,VUL
60,James,1,2,James 1:2,8,tentationes,,,,Clementine,VUL
60,James,1,2,James 1:2,9,varias,,,,Clementine,VUL
60,James,1,2,James 1:2,10,incideritis,,,,Clementine,VUL
60,James,1,2,James 1:2,11,:,,,,Clementine,VUL
60,James,1,3,James 1:3,1,scientes,,,,Clementine,VUL
60,James,1,3,James 1:3,2,quod,,,,Clementine,VUL
60,James,1,3,James 1:3,3,probatio,,,,Clementine,VUL
60,James,1,3,James 1:3,4,fidei,,,,Clementine,VUL
60,James,1,3,James 1:3,5,vestræ,,,,Clementine,VUL
60,James,1,3,James 1:3,6,patientiam,,,,Clementine,VUL
60,James,1,3,James 1:3,7,operatur.,,,,Clementine,VUL
60,James,1,4,James 1:4,1,Patientia,,,,Clementine,VUL
60,James,1,4,James 1:4,2,autem,,,,Clementine,VUL
60,James,1,4,James 1:4,3,opus,,,,Clementine,VUL
60,James,1,4,James 1:4,4,perfectum,,,,Clementine,VUL
60,James,1,4,James 1:4,5,habet,,,,Clementine,VUL
60,James,1,4,James 1:4,6,:,,,,Clementine,VUL
60,James,1,4,James 1:4,7,ut,,,,Clementine,VUL
60,James,1,4,James 1:4,8,sitis,,,,Clementine,VUL
60,James,1,4,James 1:4,9,perfecti,,,,Clementine,VUL
60,James,1,4,James 1:4,10,et,,,,Clementine,VUL
60,James,1,4,James 1:4,11,integri,,,,Clementine,VUL
60,James,1,4,James 1:4,12,in,,,,Clementine,VUL
60,James,1,4,James 1:4,13,nullo,,,,Clementine,VUL
60,James,1,4,James 1:4,14,deficientes.,,,,Clementine,VUL
60,James,1,5,James 1:5,1,Si,,,,Clementine,VUL
60,James,1,5,James 1:5,2,quis,,,,Clementine,VUL
60,James,1,5,James 1:5,3,autem,,,,Clementine,VUL
60,James,1,5,James 1:5,4,vestrum,,,,Clementine,VUL
60,James,1,5,James 1:5,5,indiget,,,,Clementine,VUL
60,James,1,5,James 1:5,6,"sapientia,",,,,Clementine,VUL
60,James,1,5,James 1:5,7,postulet,,,,Clementine,VUL
60,James,1,5,James 1:5,8,a,,,,Clementine,VUL
60,James,1,5,James 1:5,9,"Deo,",,,,Clementine,VUL
60,James,1,5,James 1:5,10,qui,,,,Clementine,VUL
60,James,1,5,James 1:5,11,dat,,,,Clementine,VUL
60,James,1,5,James 1:5,12,omnibus,,,,Clementine,VUL
60,James,1,5,James 1:5,13,"affluenter,",,,,Clementine,VUL
60,James,1,5,James 1:5,14,et,,,,Clementine,VUL
60,James,1,5,James 1:5,15,non,,,,Clementine,VUL
60,James,1,5,James 1:5,16,improperat,,,,Clementine,VUL
60,James,1,5,James 1:5,17,:,,,,Clementine,VUL
60,James,1,5,James 1:5,18,et,,,,Clementine,VUL
60,James,1,5,James 1:5,19,dabitur,,,,Clementine,VUL
60,James,1,5,James 1:5,20,ei.,,,,Clementine,VUL
60,James,1,6,James 1:6,1,Postulet,,,,Clementine,VUL
60,James,1,6,James 1:6,2,autem,,,,Clementine,VUL
60,James,1,6,James 1:6,3,in,,,,Clementine,VUL
60,James,1,6,James 1:6,4,fide,,,,Clementine,VUL
60,James,1,6,James 1:6,5,nihil,,,,Clementine,VUL
60,James,1,6,James 1:6,6,hæsitans,,,,Clementine,VUL
60,James,1,6,James 1:6,7,:,,,,Clementine,VUL
60,James,1,6,James 1:6,8,qui,,,,Clementine,VUL
60,James,1,6,James 1:6,9,enim,,,,Clementine,VUL
60,James,1,6,James 1:6,10,"hæsitat,",,,,Clementine,VUL
60,James,1,6,James 1:6,11,similis,,,,Clementine,VUL
60,James,1,6,James 1:6,12,est,,,,Clementine,VUL
60,James,1,6,James 1:6,13,fluctui,,,,Clementine,VUL
60,James,1,6,James 1:6,14,"maris,",,,,Clementine,VUL
60,James,1,6,James 1:6,15,qui,,,,Clementine,VUL
60,James,1,6,James 1:6,16,a,,,,Clementine,VUL
60,James,1,6,James 1:6,17,vento,,,,Clementine,VUL
60,James,1,6,James 1:6,18,movetur,,,,Clementine,VUL
60,James,1,6,James 1:6,19,et,,,,Clementine,VUL
60,James,1,6,James 1:6,20,circumfertur,,,,Clementine,VUL
60,James,1,6,James 1:6,21,:,,,,Clementine,VUL
60,James,1,7,James 1:7,1,non,,,,Clementine,VUL
60,James,1,7,James 1:7,2,ergo,,,,Clementine,VUL
60,James,1,7,James 1:7,3,æstimet,,,,Clementine,VUL
60,James,1,7,James 1:7,4,homo,,,,Clementine,VUL
60,James,1,7,James 1:7,5,ille,,,,Clementine,VUL
60,James,1,7,James 1:7,6,quod,,,,Clementine,VUL
60,James,1,7,James 1:7,7,accipiat,,,,Clementine,VUL
60,James,1,7,James 1:7,8,aliquid,,,,Clementine,VUL
60,James,1,7,James 1:7,9,a,,,,Clementine,VUL
60,James,1,7,James 1:7,10,Domino.,,,,Clementine,VUL
60,James,1,8,James 1:8,1,Vir,,,,Clementine,VUL
60,James,1,8,James 1:8,2,duplex,,,,Clementine,VUL
60,James,1,8,James 1:8,3,animo,,,,Clementine,VUL
60,James,1,8,James 1:8,4,inconstans,,,,Clementine,VUL
60,James,1,8,James 1:8,5,est,,,,Clementine,VUL
60,James,1,8,James 1:8,6,in,,,,Clementine,VUL
60,James,1,8,James 1:8,7,omnibus,,,,Clementine,VUL
60,James,1,8,James 1:8,8,viis,,,,Clementine,VUL
60,James,1,8,James 1:8,9,suis.,,,,Clementine,VUL
60,James,1,9,James 1:9,1,Glorietur,,,,Clementine,VUL
60,James,1,9,James 1:9,2,autem,,,,Clementine,VUL
60,James,1,9,James 1:9,3,frater,,,,Clementine,VUL
60,James,1,9,James 1:9,4,humilis,,,,Clementine,VUL
60,James,1,9,James 1:9,5,in,,,,Clementine,VUL
60,James,1,9,James 1:9,6,exaltatione,,,,Clementine,VUL
60,James,1,9,James 1:9,7,sua,,,,Clementine,VUL
