book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
24,Jeremiah,1,1,Jeremiah 1:1,1,τὸ,ὁ,RA.ASM,G3588,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,2,ῥῆμα,ῥῆμα,RR.GSM,G4487,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,3,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,4,θεοῦ,θεός,P,G2316,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,5,ὃ,ὅς,RA.GPM,G3739,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,6,ἐγένετο,γίνομαι,N.GPM,G1096,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,7,ἐπὶ,ἐπί,RR.NSM,G1909,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,8,Ιερεμιαν,Ἱερεμίας,V.IAI3S,G2408,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,9,τὸν,ὁ,P,G3588,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,10,τοῦ,ὁ,N.DPF,G3588,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,11,Χελκιου,Χελκιας,P,,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,12,ἐκ,ἐκ,N.DSF,G1537,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,13,τῶν,ὁ,N.GSM,G3588,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,14,ἱερέων,ἱερεύς,RR.NSM,G2409,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,15,ὃς,ὅς,V.API3S,G3739,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,16,κατῴκει,κατοικέω,N.NSM,G2730,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,17,ἐν,ἐν,RA.GSM,G1722,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,18,Αναθωθ,Αναθωθ,N.GSM,,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,19,ἐν,ἐν,P,G1722,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,20,γῇ,γῆ,RD.ASM,G1093,Rahlfs,LXX
24,Jeremiah,1,1,Jeremiah 1:1,21,Βενιαμιν,Βενιαμίν,P,G958,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,1,ὃς,ὅς,RA.DPF,G3739,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,2,ἐγενήθη,γίνομαι,N.DPF,G1096,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,3,λόγος,λόγος,N.GSM,G3056,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,4,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,5,θεοῦ,θεός,N.GSM,G2316,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,6,πρὸς,πρός,N.GSM,G4314,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,7,αὐτὸν,αὐτός,N.GSM,G846,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,8,ἐν,ἐν,N.GSN,G1722,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,9,ταῖς,ὁ,A.GSN,G3588,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,10,ἡμέραις,ἡμέρα,P,G2250,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,11,Ιωσια,Ιωσια,RA.DSF,,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,12,υἱοῦ,υἱός,N.DSF,G5207,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,13,Αμως,Ἀμώς,RD.GSM,G301,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,14,βασιλέως,βασιλεύς,C,G935,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,15,Ιουδα,Ἰουδά,V.AMI3S,G2448,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,16,ἔτους,ἔτος,P,G2094,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,17,τρισκαιδεκάτου,τρισκαιδέκατος,RA.DPF,,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,18,ἐν,ἐν,N.DPF,G1722,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,19,τῇ,ὁ,N.GSM,G3588,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,20,βασιλείᾳ,βασιλεία,N.GSM,G932,Rahlfs,LXX
24,Jeremiah,1,2,Jeremiah 1:2,21,αὐτοῦ,αὐτός,N.GSM,G846,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,1,καὶ,καί,N.GSM,G2532,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,2,ἐγένετο,γίνομαι,N.GSM,G1096,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,3,ἐν,ἐν,P,G1722,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,4,ταῖς,ὁ,A.GSN,G3588,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,5,ἡμέραις,ἡμέρα,N.GSN,G2250,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,6,Ιωακιμ,Ιωακιμ,N.DSM,,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,7,υἱοῦ,υἱός,N.GSM,G5207,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,8,Ιωσια,Ιωσια,N.GSM,,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,9,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,10,Ιουδα,Ἰουδά,N.GSM,G2448,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,11,ἕως,ἕως,P,G2193,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,12,ἑνδεκάτου,ἑνδέκατος,RA.GSF,G1734,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,13,ἔτους,ἔτος,N.GSF,G2094,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,14,Σεδεκια,Σεδεκίας,N.GSF,,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,15,υἱοῦ,υἱός,P,G5207,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,16,Ιωσια,Ιωσια,RA.DSM,,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,17,βασιλέως,βασιλεύς,A.DSM,G935,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,18,Ιουδα,Ἰουδά,N.DSM,G2448,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,19,ἕως,ἕως,C,G2193,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,20,τῆς,ὁ,V.AMI3S,G3588,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,21,αἰχμαλωσίας,αἰχμαλωσία,N.NSM,G161,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,22,Ιερουσαλημ,Ἱερουσαλήμ,N.GSM,G2419,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,23,ἐν,ἐν,P,G1722,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,24,τῷ,ὁ,RP.AS,G3588,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,25,πέμπτῳ,πέμπτος,V.PAPNSM,G3991,Rahlfs,LXX
24,Jeremiah,1,3,Jeremiah 1:3,26,μηνί,μήν,P,G3376,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,1,καὶ,καί,RA.GSN,G2532,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,2,ἐγένετο,γίνομαι,RP.AS,G1096,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,3,λόγος,λόγος,V.AAN,G3056,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,4,κυρίου,κύριος,RP.AS,G2962,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,5,πρός,πρός,P,G4314,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,6,με,μέ,N.DSF,G3165,Rahlfs,LXX
24,Jeremiah,1,4,Jeremiah 1:4,7,λέγων,λέγω,V.PMI1S,G3004,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,1,πρὸ,πρό,RP.AS,G4253,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,2,τοῦ,ὁ,C,G3588,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,3,με,μέ,P,G3165,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,4,πλάσαι,πλάσσω,RA.GSN,G4111,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,5,σε,σέ,RP.AS,G4571,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,6,ἐν,ἐν,V.AAN,G1722,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,7,κοιλίᾳ,κοιλία,P,G2836,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,8,ἐπίσταμαί,ἐπίσταμαι,N.GSF,G1987,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,9,σε,σέ,V.XAI1S,G4571,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,10,καὶ,καί,RP.AS,G2532,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,11,πρὸ,πρό,N.ASM,G4253,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,12,τοῦ,ὁ,P,G3588,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,13,σε,σέ,N.APN,G4571,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,14,ἐξελθεῖν,ἐξέρχομαι,V.XAI1S,G1831,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,15,ἐκ,ἐκ,RP.AS,G1537,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,16,μήτρας,μήτρα,C,G3388,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,17,ἡγίακά,ἁγιάζω,V.AAI1S,G37,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,18,σε,σέ,I,G4571,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,19,προφήτην,προφήτης,N.VSM,G4396,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,20,εἰς,εἰς,N.VSM,G1519,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,21,ἔθνη,ἔθνος,I,G1484,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,22,τέθεικά,τίθημι,D,G5087,Rahlfs,LXX
24,Jeremiah,1,5,Jeremiah 1:5,23,σε,σέ,V.PMI1S,G4571,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,1,καὶ,καί,V.PAN,G2532,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,2,εἶπα,ἔπω,C,G2036,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,3,ὦ,ὦ,A.NSMC,G5599,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,4,δέσποτα,δεσπότης,RP.NS,G1203,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,5,κύριε,κύριος,V.PAI1S,G2962,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,6,ἰδοὺ,ἰδού,C,G2400,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,7,οὐκ,οὐ,V.AAI3S,G3756,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,8,ἐπίσταμαι,ἐπίσταμαι,N.NSM,G1987,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,9,λαλεῖν,λαλέω,P,G2980,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,10,ὅτι,ὅτι,RP.AS,G3754,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,11,νεώτερος,νέος,D,G3501,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,12,ἐγώ,ἐγώ,V.PAD2S,G1473,Rahlfs,LXX
24,Jeremiah,1,6,Jeremiah 1:6,13,εἰμι,εἰμί,C,G1510,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,1,καὶ,καί,A.NSMC,G2532,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,2,εἶπεν,ἔπω,RP.NS,G2036,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,3,κύριος,κύριος,V.PAI1S,G2962,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,4,πρός,πρός,C,G4314,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,5,με,μέ,P,G3165,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,6,μὴ,μή,A.APM,G3361,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,7,λέγε,λέγω,RR.APM,G3004,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,8,ὅτι,ὅτι,C,G3754,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,9,νεώτερος,νέος,V.AAS1S,G3501,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,10,ἐγώ,ἐγώ,RP.AS,G1473,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,11,εἰμι,εἰμί,V.FMI2S,G1510,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,12,ὅτι,ὅτι,C,G3754,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,13,πρὸς,πρός,P,G4314,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,14,πάντας,πᾶς,A.APN,G3956,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,15,οὓς,ὅς,A.APN,G3739,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,16,ἐὰν,ἐάν,C,G1437,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,17,ἐξαποστείλω,ἐξαποστέλλω,V.AMS1S,G1821,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,18,σε,σέ,RP.DS,G4571,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,19,πορεύσῃ,πορεύομαι,V.FAI2S,G4198,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,20,καὶ,καί,D,G2532,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,21,κατὰ,κατά,V.APS2S,G2596,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,22,πάντα,πᾶς,P,G3956,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,23,ὅσα,ὅσος,N.GSN,G3745,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,24,ἐὰν,ἐάν,RD.GPM,G1437,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,25,ἐντείλωμαί,ἐντέλλομαι,C,G1781,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,26,σοι,σοί,P,G4671,Rahlfs,LXX
24,Jeremiah,1,7,Jeremiah 1:7,27,λαλήσεις,λαλέω,RP.GS,G2980,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,1,μὴ,μή,RP.NS,G3361,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,2,φοβηθῇς,φοβέω,V.PAI1S,G5399,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,3,ἀπὸ,ἀπό,RA.GSN,G575,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,4,προσώπου,πρόσωπον,V.PMN,G4383,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,5,αὐτῶν,αὐτός,RP.AS,G846,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,6,ὅτι,ὅτι,V.PAI3S,G3754,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,7,μετὰ,μετά,N.NSM,G3326,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,8,σοῦ,σοῦ,C,G4675,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,9,ἐγώ,ἐγώ,V.AAI3S,G1473,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,10,εἰμι,εἰμί,N.NSM,G1510,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,11,τοῦ,ὁ,RA.ASF,G3588,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,12,ἐξαιρεῖσθαί,ἐξαιρέω,N.ASF,G1807,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,13,σε,σέ,RD.GSM,G4571,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,14,λέγει,λέγω,P,G3004,Rahlfs,LXX
24,Jeremiah,1,8,Jeremiah 1:8,15,κύριος,κύριος,RP.AS,G2962,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,1,καὶ,καί,C,G2532,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,2,ἐξέτεινεν,ἐκτείνω,V.AMI3S,G1614,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,3,κύριος,κύριος,RA.GSN,G2962,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,4,τὴν,ὁ,N.GSN,G3588,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,5,χεῖρα,χείρ,RP.GS,G5495,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,6,αὐτοῦ,αὐτός,C,G846,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,7,πρός,πρός,V.AAI3S,G4314,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,8,με,μέ,N.NSM,G3165,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,9,καὶ,καί,P,G2532,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,10,ἥψατο,ἅπτομαι,RP.AS,G680,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,11,τοῦ,ὁ,I,G3588,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,12,στόματός,στόμα,V.XAI1S,G4750,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,13,μου,μου,RA.APM,G3450,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,14,καὶ,καί,N.APM,G2532,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,15,εἶπεν,ἔπω,RP.GS,G2036,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,16,κύριος,κύριος,P,G2962,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,17,πρός,πρός,RA.ASN,G4314,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,18,με,μέ,N.ASN,G3165,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,19,ἰδοὺ,ἰδού,RP.GS,G2400,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,20,δέδωκα,δίδωμι,I,G1325,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,21,τοὺς,ὁ,V.XAI1S,G3588,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,22,λόγους,λόγος,RP.AS,G3056,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,23,μου,μου,D,G3450,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,24,εἰς,εἰς,P,G1519,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,25,τὸ,ὁ,N.APN,G3588,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,26,στόμα,στόμα,C,G4750,Rahlfs,LXX
24,Jeremiah,1,9,Jeremiah 1:9,27,σου,σοῦ,N.APF,G4675,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,1,ἰδοὺ,ἰδού,V.PAN,G2400,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,2,κατέστακά,καθίστημι,C,G2525,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,3,σε,σέ,V.PAN,G4571,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,4,σήμερον,σήμερον,C,G4594,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,5,ἐπὶ,ἐπί,V.PAN,G1909,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,6,ἔθνη,ἔθνος,C,G1484,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,7,καὶ,καί,V.PAN,G2532,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,8,βασιλείας,βασιλεία,C,G932,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,9,ἐκριζοῦν,ἐκριζόω,V.PAN,G1610,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,10,καὶ,καί,C,G2532,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,11,κατασκάπτειν,κατασκάπτω,V.AMI3S,G2679,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,12,καὶ,καί,N.NSM,G2532,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,13,ἀπολλύειν,ἀπόλλυμι,N.GSM,G622,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,14,καὶ,καί,P,G2532,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,15,ἀνοικοδομεῖν,ἀνοικοδομέω,RP.AS,G456,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,16,καὶ,καί,V.PAPNSM,G2532,Rahlfs,LXX
24,Jeremiah,1,10,Jeremiah 1:10,17,καταφυτεύειν,καταφυτεύω,RI.ASN,,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,1,καὶ,καί,RP.NS,G2532,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,2,ἐγένετο,γίνομαι,V.PAI2S,G1096,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,3,λόγος,λόγος,N.VSM,G3056,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,4,κυρίου,κύριος,C,G2962,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,5,πρός,πρός,V.AAI1S,G4314,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,6,με,μέ,N.ASF,G3165,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,7,λέγων,λέγω,N.ASF,G3004,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,8,τί,τίς,C,G5101,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,9,σὺ,σύ,V.AAI3S,G4771,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,10,ὁρᾷς,ὁράω,N.NSM,G3708,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,11,Ιερεμια,Ἱερεμίας,P,G2408,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,12,καὶ,καί,RP.AS,G2532,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,13,εἶπα,ἔπω,D,G2036,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,14,βακτηρίαν,βακτηρία,V.XAI2S,,Rahlfs,LXX
24,Jeremiah,1,11,Jeremiah 1:11,15,καρυΐνην,καρυΐνη,C,,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,1,καὶ,καί,V.XAI1S,G2532,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,2,εἶπεν,ἔπω,RP.NS,G2036,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,3,κύριος,κύριος,P,G2962,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,4,πρός,πρός,RA.APM,G4314,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,5,με,μέ,N.APM,G3165,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,6,καλῶς,καλῶς,RP.GS,G2573,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,7,ἑώρακας,ὁράω,RA.GSN,G3708,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,8,διότι,διότι,V.AAN,G1360,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,9,ἐγρήγορα,ἐγείρω,RD.APM,G1453,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,10,ἐγὼ,ἐγώ,C,G1473,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,11,ἐπὶ,ἐπί,V.AMI3S,G1909,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,12,τοὺς,ὁ,N.NSM,G3588,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,13,λόγους,λόγος,N.GSM,G3056,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,14,μου,μου,P,G3450,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,15,τοῦ,ὁ,RP.AS,G3588,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,16,ποιῆσαι,ποιέω,P,G4160,Rahlfs,LXX
24,Jeremiah,1,12,Jeremiah 1:12,17,αὐτούς,αὐτός,A.GSM,G846,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,1,καὶ,καί,V.PAPNSM,G2532,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,2,ἐγένετο,γίνομαι,RI.ASN,G1096,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,3,λόγος,λόγος,RP.NS,G3056,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,4,κυρίου,κύριος,V.PAI2S,G2962,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,5,πρός,πρός,C,G4314,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,6,με,μέ,V.AAI1S,G3165,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,7,ἐκ,ἐκ,N.ASM,G1537,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,8,δευτέρου,δεύτερος,V.PMPASM,G1208,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,9,λέγων,λέγω,C,G3004,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,10,τί,τίς,RA.NSN,G5101,Rahlfs,LXX
24,Jeremiah,1,13,Jeremiah 1:13,11,σὺ,σύ,N.NSN,G4771,Rahlfs,LXX
